patch_id,lon_deg,lat_deg,min_abs_b_deg,selected
0,45.0,78.28414760510762,64.9520194377293,True
1,135.0,78.28414760510762,64.9520194377293,True
2,225.0,78.28414760510762,64.9520194377293,True
3,315.0,78.28414760510762,64.9520194377293,True
4,22.5,66.44353569089877,53.95670070188869,True
5,67.5,66.44353569089877,53.95670070188869,True
6,112.5,66.44353569089877,53.95670070188869,True
7,157.5,66.44353569089877,53.95670070188869,True
8,202.5,66.44353569089877,53.95670070188869,True
9,247.49999999999997,66.44353569089877,53.95670070188869,True
10,292.5,66.44353569089877,53.9567007018887,True
11,337.5,66.44353569089877,53.95670070188869,True
12,14.999999999999998,54.340912303861245,42.339101953689436,False
13,45.0,54.340912303861245,42.339101953689436,False
14,75.0,54.340912303861245,42.339101953689436,False
15,105.0,54.340912303861245,42.339101953689436,False
16,135.0,54.340912303861245,42.339101953689436,False
17,165.0,54.340912303861245,42.33910195368944,False
18,195.0,54.340912303861245,42.339101953689436,False
19,224.99999999999997,54.340912303861245,42.339101953689436,False
20,255.00000000000003,54.340912303861245,42.339101953689436,False
21,285.0,54.340912303861245,42.339101953689436,False
22,315.0,54.340912303861245,42.339101953689436,False
23,344.99999999999994,54.340912303861245,42.339101953689436,False
24,11.25,41.81031489577859,30.147448563343456,False
25,33.75,41.81031489577859,30.147448563343453,False
26,56.24999999999999,41.81031489577859,30.147448563343453,False
27,78.75,41.81031489577859,30.147448563343456,False
28,101.24999999999999,41.81031489577859,30.147448563343456,False
29,123.74999999999999,41.81031489577859,30.147448563343453,False
30,146.25,41.81031489577859,30.147448563343453,False
31,168.74999999999997,41.81031489577859,30.147448563343456,False
32,191.25,41.81031489577859,30.147448563343456,False
33,213.75,41.81031489577859,30.147448563343453,False
34,236.25,41.81031489577859,30.147448563343453,False
35,258.75,41.81031489577859,30.147448563343456,False
36,281.24999999999994,41.81031489577859,30.147448563343453,False
37,303.75,41.81031489577859,30.147448563343456,False
38,326.24999999999994,41.81031489577859,30.147448563343453,False
39,348.74999999999994,41.81031489577859,30.147448563343456,False
40,0.0,30.000000000000007,18.585631169207097,False
41,22.5,30.000000000000007,18.585631169207097,False
42,45.0,30.000000000000007,18.585631169207097,False
43,67.5,30.000000000000007,18.585631169207097,False
44,90.0,30.000000000000007,18.585631169207097,False
45,112.49999999999999,30.000000000000007,18.585631169207097,False
46,135.0,30.000000000000007,18.585631169207097,False
47,157.5,30.000000000000007,18.585631169207097,False
48,180.0,30.000000000000007,18.585631169207097,False
49,202.49999999999997,30.000000000000007,18.585631169207097,False
50,224.99999999999997,30.000000000000007,18.585631169207097,False
51,247.49999999999997,30.000000000000007,18.585631169207097,False
52,270.0,30.000000000000007,18.585631169207097,False
53,292.5,30.000000000000007,18.585631169207097,False
54,315.0,30.000000000000007,18.585631169207097,False
55,337.49999999999994,30.000000000000007,18.585631169207097,False
56,11.25,19.47122063449069,8.250413246827126,False
57,33.75,19.47122063449069,8.250413246827124,False
58,56.24999999999999,19.47122063449069,8.250413246827126,False
59,78.75,19.47122063449069,8.250413246827126,False
60,101.24999999999999,19.47122063449069,8.250413246827126,False
61,123.74999999999999,19.47122063449069,8.250413246827126,False
62,146.25,19.47122063449069,8.250413246827122,False
63,168.74999999999997,19.47122063449069,8.250413246827126,False
64,191.25,19.47122063449069,8.250413246827126,False
65,213.75,19.47122063449069,8.250413246827124,False
66,236.25,19.47122063449069,8.250413246827124,False
67,258.75,19.47122063449069,8.250413246827126,False
68,281.24999999999994,19.47122063449069,8.250413246827126,False
69,303.75,19.47122063449069,8.250413246827126,False
70,326.24999999999994,19.47122063449069,8.250413246827124,False
71,348.74999999999994,19.47122063449069,8.250413246827126,False
72,0.0,9.594068226860458,0.00459790126471111,False
73,22.5,9.594068226860458,0.00459790126471111,False
74,45.0,9.594068226860458,0.00459790126471111,False
75,67.5,9.594068226860458,0.00459790126471111,False
76,90.0,9.594068226860458,0.00459790126471111,False
77,112.49999999999999,9.594068226860458,0.00459790126471111,False
78,135.0,9.594068226860458,0.00459790126471111,False
79,157.5,9.594068226860458,0.0045979012647111095,False
80,180.0,9.594068226860458,0.00459790126471111,False
81,202.49999999999997,9.594068226860458,0.00459790126471111,False
82,224.99999999999997,9.594068226860458,0.00459790126471111,False
83,247.49999999999997,9.594068226860458,0.0045979012647111095,False
84,270.0,9.594068226860458,0.00459790126471111,False
85,292.5,9.594068226860458,0.00459790126471111,False
86,315.0,9.594068226860458,0.00459790126471111,False
87,337.49999999999994,9.594068226860458,0.0045979012647111095,False
88,11.25,0.0,0.04266666666666552,False
89,33.75,0.0,0.04266666666666552,False
90,56.24999999999999,0.0,0.04266666666666552,False
91,78.75,0.0,0.04266666666666552,False
92,101.24999999999999,0.0,0.04266666666666551,False
93,123.74999999999999,0.0,0.04266666666666553,False
94,146.25,0.0,0.04266666666666552,False
95,168.74999999999997,0.0,0.04266666666666551,False
96,191.25,0.0,0.04266666666666552,False
97,213.75,0.0,0.04266666666666551,False
98,236.25,0.0,0.04266666666666553,False
99,258.75,0.0,0.04266666666666552,False
100,281.24999999999994,0.0,0.04266666666666551,False
101,303.75,0.0,0.04266666666666553,False
102,326.24999999999994,0.0,0.04266666666666553,False
103,348.74999999999994,0.0,0.04266666666666551,False
104,0.0,-9.594068226860458,0.00459790126471111,False
105,22.5,-9.594068226860458,0.00459790126471111,False
106,45.0,-9.594068226860458,0.00459790126471111,False
107,67.5,-9.594068226860458,0.00459790126471111,False
108,90.0,-9.594068226860458,0.00459790126471111,False
109,112.49999999999999,-9.594068226860458,0.00459790126471111,False
110,135.0,-9.594068226860458,0.00459790126471111,False
111,157.5,-9.594068226860458,0.0045979012647111095,False
112,180.0,-9.594068226860458,0.00459790126471111,False
113,202.49999999999997,-9.594068226860458,0.00459790126471111,False
114,224.99999999999997,-9.594068226860458,0.00459790126471111,False
115,247.49999999999997,-9.594068226860458,0.0045979012647111095,False
116,270.0,-9.594068226860458,0.00459790126471111,False
117,292.5,-9.594068226860458,0.00459790126471111,False
118,315.0,-9.594068226860458,0.00459790126471111,False
119,337.49999999999994,-9.594068226860458,0.0045979012647111095,False
120,11.25,-19.47122063449069,8.250413246827126,False
121,33.75,-19.47122063449069,8.250413246827124,False
122,56.24999999999999,-19.47122063449069,8.250413246827126,False
123,78.75,-19.47122063449069,8.250413246827126,False
124,101.24999999999999,-19.47122063449069,8.250413246827126,False
125,123.74999999999999,-19.47122063449069,8.250413246827126,False
126,146.25,-19.47122063449069,8.250413246827122,False
127,168.74999999999997,-19.47122063449069,8.250413246827126,False
128,191.25,-19.47122063449069,8.250413246827126,False
129,213.75,-19.47122063449069,8.250413246827124,False
130,236.25,-19.47122063449069,8.250413246827124,False
131,258.75,-19.47122063449069,8.250413246827126,False
132,281.24999999999994,-19.47122063449069,8.250413246827126,False
133,303.75,-19.47122063449069,8.250413246827126,False
134,326.24999999999994,-19.47122063449069,8.250413246827124,False
135,348.74999999999994,-19.47122063449069,8.250413246827126,False
136,0.0,-30.000000000000014,18.585631169207105,False
137,22.5,-30.000000000000014,18.585631169207105,False
138,45.0,-30.000000000000014,18.5856311692071,False
139,67.5,-30.000000000000014,18.5856311692071,False
140,90.0,-30.000000000000014,18.585631169207105,False
141,112.49999999999999,-30.000000000000014,18.585631169207105,False
142,135.0,-30.000000000000014,18.5856311692071,False
143,157.5,-30.000000000000014,18.585631169207105,False
144,180.0,-30.000000000000014,18.585631169207105,False
145,202.49999999999997,-30.000000000000014,18.585631169207105,False
146,224.99999999999997,-30.000000000000014,18.585631169207105,False
147,247.49999999999997,-30.000000000000014,18.585631169207105,False
148,270.0,-30.000000000000014,18.585631169207105,False
149,292.5,-30.000000000000014,18.585631169207105,False
150,315.0,-30.000000000000014,18.5856311692071,False
151,337.49999999999994,-30.000000000000014,18.585631169207105,False
152,11.25,-41.81031489577862,30.147448563343477,False
153,33.75,-41.81031489577862,30.147448563343477,False
154,56.24999999999999,-41.81031489577862,30.147448563343477,False
155,78.75,-41.81031489577862,30.147448563343477,False
156,101.24999999999999,-41.81031489577862,30.147448563343477,False
157,123.74999999999999,-41.81031489577862,30.147448563343477,False
158,146.25,-41.81031489577862,30.147448563343477,False
159,168.74999999999997,-41.81031489577862,30.147448563343477,False
160,191.25,-41.81031489577862,30.147448563343477,False
161,213.75,-41.81031489577862,30.147448563343477,False
162,236.25,-41.81031489577862,30.147448563343477,False
163,258.75,-41.81031489577862,30.147448563343477,False
164,281.24999999999994,-41.81031489577862,30.147448563343477,False
165,303.75,-41.81031489577862,30.147448563343477,False
166,326.24999999999994,-41.81031489577862,30.147448563343477,False
167,348.74999999999994,-41.81031489577862,30.14744856334347,False
168,14.999999999999998,-54.340912303861245,42.339101953689436,False
169,45.0,-54.340912303861245,42.339101953689436,False
170,75.0,-54.340912303861245,42.339101953689436,False
171,105.0,-54.340912303861245,42.339101953689436,False
172,135.0,-54.340912303861245,42.339101953689436,False
173,165.0,-54.340912303861245,42.33910195368944,False
174,195.0,-54.340912303861245,42.339101953689436,False
175,224.99999999999997,-54.340912303861245,42.339101953689436,False
176,255.00000000000003,-54.340912303861245,42.339101953689436,False
177,285.0,-54.340912303861245,42.339101953689436,False
178,315.0,-54.340912303861245,42.339101953689436,False
179,344.99999999999994,-54.340912303861245,42.339101953689436,False
180,22.5,-66.44353569089876,53.95670070188868,True
181,67.5,-66.44353569089876,53.95670070188868,True
182,112.5,-66.44353569089876,53.95670070188868,True
183,157.5,-66.44353569089876,53.95670070188868,True
184,202.5,-66.44353569089876,53.95670070188868,True
185,247.49999999999997,-66.44353569089876,53.95670070188868,True
186,292.5,-66.44353569089876,53.95670070188868,True
187,337.5,-66.44353569089876,53.95670070188868,True
188,45.0,-78.28414760510762,64.9520194377293,True
189,135.0,-78.28414760510762,64.9520194377293,True
190,225.0,-78.28414760510762,64.9520194377293,True
191,315.0,-78.28414760510762,64.9520194377293,True
