Epoch 1/1 | step 15/100 | phase with_noise_channels | minibatch 15 | loss: 7.67563
Epoch 1/1 | step 15/100 | phase with_noise_channels | minibatch 15 | loss: 150.362
Epoch 1/1 | step 16/100 | phase with_noise_channels | minibatch 15 | loss: 158.194
Epoch 1/1 | step 16/100 | phase with_noise_channels | minibatch 15 | loss: 102.176
Epoch 1/1 | step 16/100 | phase with_noise_channels | minibatch 15 | loss: 4.88702
Epoch 1/1 | step 16/100 | phase with_noise_channels | minibatch 15 | loss: 145.595
Epoch 1/1 | step 17/100 | phase with_noise_channels | minibatch 15 | loss: 118.511
Epoch 1/1 | step 17/100 | phase with_noise_channels | minibatch 15 | loss: 97.2692
Epoch 1/1 | step 17/100 | phase with_noise_channels | minibatch 15 | loss: 3.3843
Epoch 1/1 | step 17/100 | phase with_noise_channels | minibatch 15 | loss: 146.359
Epoch 1/1 | step 18/100 | phase with_noise_channels | minibatch 15 | loss: 83.9032
Epoch 1/1 | step 18/100 | phase with_noise_channels | minibatch 15 | loss: 232.166
Epoch 1/1 | step 18/100 | phase with_noise_channels | minibatch 15 | loss: 2.51677
Epoch 1/1 | step 18/100 | phase with_noise_channels | minibatch 15 | loss: 140.962
Epoch 1/1 | step 19/100 | phase with_noise_channels | minibatch 15 | loss: 60.7058
Epoch 1/1 | step 19/100 | phase with_noise_channels | minibatch 15 | loss: 80.0784
Epoch 1/1 | step 19/100 | phase with_noise_channels | minibatch 15 | loss: 2.10264
Epoch 1/1 | step 19/100 | phase with_noise_channels | minibatch 15 | loss: 541.685
Epoch 1/1 | step 20/100 | phase with_noise_channels | minibatch 15 | loss: 133.415
Epoch 1/1 | step 20/100 | phase with_noise_channels | minibatch 15 | loss: 73.2997
Epoch 1/1 | step 20/100 | phase with_noise_channels | minibatch 15 | loss: 1.82312
Epoch 1/1 | step 20/100 | phase with_noise_channels | minibatch 15 | loss: 126.868
Epoch 1/1 | step 21/100 | phase with_noise_channels | minibatch 15 | loss: 50.004
Epoch 1/1 | step 21/100 | phase with_noise_channels | minibatch 15 | loss: 64.2291
Epoch 1/1 | step 21/100 | phase with_noise_channels | minibatch 15 | loss: 1.45083
Epoch 1/1 | step 21/100 | phase with_noise_channels | minibatch 15 | loss: 115.395
Epoch 1/1 | step 22/100 | phase with_noise_channels | minibatch 15 | loss: 48.2125
Epoch 1/1 | step 22/100 | phase with_noise_channels | minibatch 15 | loss: 53.0274
Epoch 1/1 | step 22/100 | phase with_noise_channels | minibatch 15 | loss: 1.47431
Epoch 1/1 | step 22/100 | phase with_noise_channels | minibatch 15 | loss: 863.469
Epoch 1/1 | step 23/100 | phase with_noise_channels | minibatch 15 | loss: 43.065
Epoch 1/1 | step 23/100 | phase with_noise_channels | minibatch 15 | loss: 37.2983
Epoch 1/1 | step 23/100 | phase with_noise_channels | minibatch 15 | loss: 1.63294
Epoch 1/1 | step 23/100 | phase with_noise_channels | minibatch 15 | loss: 103.944
Epoch 1/1 | step 24/100 | phase with_noise_channels | minibatch 15 | loss: 37.8952
Epoch 1/1 | step 24/100 | phase with_noise_channels | minibatch 15 | loss: 18.6269
Epoch 1/1 | step 24/100 | phase with_noise_channels | minibatch 15 | loss: 1.11853
Epoch 1/1 | step 24/100 | phase with_noise_channels | minibatch 15 | loss: 96.8277
Epoch 1/1 | step 25/100 | phase with_noise_channels | minibatch 15 | loss: 23.9296
Epoch 1/1 | step 25/100 | phase with_noise_channels | minibatch 15 | loss: 12.7903
Epoch 1/1 | step 25/100 | phase with_noise_channels | minibatch 15 | loss: 1.07259
Epoch 1/1 | step 25/100 | phase with_noise_channels | minibatch 15 | loss: 302.576
Epoch 1/1 | step 26/100 | phase with_noise_channels | minibatch 15 | loss: 17.5653
Epoch 1/1 | step 26/100 | phase with_noise_channels | minibatch 15 | loss: 9.12949
Epoch 1/1 | step 26/100 | phase with_noise_channels | minibatch 15 | loss: 0.992715
Epoch 1/1 | step 26/100 | phase with_noise_channels | minibatch 15 | loss: 80.7647
Epoch 1/1 | step 27/100 | phase with_noise_channels | minibatch 15 | loss: 9.66085
Epoch 1/1 | step 27/100 | phase with_noise_channels | minibatch 15 | loss: 7.3343
Epoch 1/1 | step 27/100 | phase with_noise_channels | minibatch 15 | loss: 0.929307
Epoch 1/1 | step 27/100 | phase with_noise_channels | minibatch 15 | loss: 72.4563
Epoch 1/1 | step 28/100 | phase with_noise_channels | minibatch 15 | loss: 8.19643
Epoch 1/1 | step 28/100 | phase with_noise_channels | minibatch 15 | loss: 4.14237
Epoch 1/1 | step 28/100 | phase with_noise_channels | minibatch 15 | loss: 0.887268
Epoch 1/1 | step 28/100 | phase with_noise_channels | minibatch 15 | loss: 61.8958
Epoch 1/1 | step 29/100 | phase with_noise_channels | minibatch 15 | loss: 7.10416
Epoch 1/1 | step 29/100 | phase with_noise_channels | minibatch 15 | loss: 3.54565
Epoch 1/1 | step 29/100 | phase with_noise_channels | minibatch 15 | loss: 0.881936
Epoch 1/1 | step 29/100 | phase with_noise_channels | minibatch 15 | loss: 55.7975
Epoch 1/1 | step 30/100 | phase with_noise_channels | minibatch 15 | loss: 6.77103
Epoch 1/1 | step 30/100 | phase with_noise_channels | minibatch 15 | loss: 2.83863
Epoch 1/1 | step 30/100 | phase with_noise_channels | minibatch 15 | loss: 0.834529
Epoch 1/1 | step 30/100 | phase with_noise_channels | minibatch 15 | loss: 42.0948
Epoch 1/1 | step 31/100 | phase with_noise_channels | minibatch 15 | loss: 4.83478
Epoch 1/1 | step 31/100 | phase with_noise_channels | minibatch 15 | loss: 2.41233
Epoch 1/1 | step 31/100 | phase with_noise_channels | minibatch 15 | loss: 0.828237
Epoch 1/1 | step 31/100 | phase with_noise_channels | minibatch 15 | loss: 24.9919
Epoch 1/1 | step 32/100 | phase with_noise_channels | minibatch 15 | loss: 3.22268
Epoch 1/1 | step 32/100 | phase with_noise_channels | minibatch 15 | loss: 2.07496
Epoch 1/1 | step 32/100 | phase with_noise_channels | minibatch 15 | loss: 0.796922
Epoch 1/1 | step 32/100 | phase with_noise_channels | minibatch 15 | loss: 15.9856
Epoch 1/1 | step 33/100 | phase with_noise_channels | minibatch 15 | loss: 2.75372
Epoch 1/1 | step 33/100 | phase with_noise_channels | minibatch 15 | loss: 1.80692
Epoch 1/1 | step 33/100 | phase with_noise_channels | minibatch 15 | loss: 0.72602
Epoch 1/1 | step 33/100 | phase with_noise_channels | minibatch 15 | loss: 11.7954
Epoch 1/1 | step 34/100 | phase with_noise_channels | minibatch 15 | loss: 2.49581
Epoch 1/1 | step 34/100 | phase with_noise_channels | minibatch 15 | loss: 1.58775
Epoch 1/1 | step 34/100 | phase with_noise_channels | minibatch 15 | loss: 0.714062
Epoch 1/1 | step 34/100 | phase with_noise_channels | minibatch 15 | loss: 20.1283
Epoch 1/1 | step 35/100 | phase with_noise_channels | minibatch 15 | loss: 2.24703
Epoch 1/1 | step 35/100 | phase with_noise_channels | minibatch 15 | loss: 1.50102
Epoch 1/1 | step 35/100 | phase with_noise_channels | minibatch 15 | loss: 0.716488
Epoch 1/1 | step 35/100 | phase with_noise_channels | minibatch 15 | loss: 7.36483
Epoch 1/1 | step 36/100 | phase with_noise_channels | minibatch 15 | loss: 1.89914
Epoch 1/1 | step 36/100 | phase with_noise_channels | minibatch 15 | loss: 1.64836
Epoch 1/1 | step 36/100 | phase with_noise_channels | minibatch 15 | loss: 0.910905
Epoch 1/1 | step 36/100 | phase with_noise_channels | minibatch 15 | loss: 6.44041
Epoch 1/1 | step 37/100 | phase with_noise_channels | minibatch 15 | loss: 1.48373
Epoch 1/1 | step 37/100 | phase with_noise_channels | minibatch 15 | loss: 1.32585
Epoch 1/1 | step 37/100 | phase with_noise_channels | minibatch 15 | loss: 0.712335
Epoch 1/1 | step 37/100 | phase with_noise_channels | minibatch 15 | loss: 8.09955
Epoch 1/1 | step 38/100 | phase with_noise_channels | minibatch 15 | loss: 1.42168
Epoch 1/1 | step 38/100 | phase with_noise_channels | minibatch 15 | loss: 1.27706
Epoch 1/1 | step 38/100 | phase with_noise_channels | minibatch 15 | loss: 0.750347
Epoch 1/1 | step 38/100 | phase with_noise_channels | minibatch 15 | loss: 3.7039
Epoch 1/1 | step 39/100 | phase with_noise_channels | minibatch 15 | loss: 1.29608
Epoch 1/1 | step 39/100 | phase with_noise_channels | minibatch 15 | loss: 1.29348
Epoch 1/1 | step 39/100 | phase with_noise_channels | minibatch 15 | loss: 0.836599
Epoch 1/1 | step 39/100 | phase with_noise_channels | minibatch 15 | loss: 3.19802
Epoch 1/1 | step 40/100 | phase with_noise_channels | minibatch 15 | loss: 1.21242
Epoch 1/1 | step 40/100 | phase with_noise_channels | minibatch 15 | loss: 1.071
Epoch 1/1 | step 40/100 | phase with_noise_channels | minibatch 15 | loss: 0.679264
Epoch 1/1 | step 40/100 | phase with_noise_channels | minibatch 15 | loss: 2.42457
Epoch 1/1 | step 41/100 | phase with_noise_channels | minibatch 15 | loss: 1.09319
Epoch 1/1 | step 41/100 | phase with_noise_channels | minibatch 15 | loss: 1.27765
Epoch 1/1 | step 41/100 | phase with_noise_channels | minibatch 15 | loss: 0.745921
Epoch 1/1 | step 41/100 | phase with_noise_channels | minibatch 15 | loss: 2.17536
Epoch 1/1 | step 42/100 | phase with_noise_channels | minibatch 15 | loss: 1.04684
Epoch 1/1 | step 42/100 | phase with_noise_channels | minibatch 15 | loss: 1.12846
Epoch 1/1 | step 42/100 | phase with_noise_channels | minibatch 15 | loss: 0.635745
Epoch 1/1 | step 42/100 | phase with_noise_channels | minibatch 15 | loss: 2.26491
Epoch 1/1 | step 43/100 | phase with_noise_channels | minibatch 15 | loss: 1.00546
Epoch 1/1 | step 43/100 | phase with_noise_channels | minibatch 15 | loss: 1.06498
Epoch 1/1 | step 43/100 | phase with_noise_channels | minibatch 15 | loss: 0.669981
Epoch 1/1 | step 43/100 | phase with_noise_channels | minibatch 15 | loss: 1.71653
Epoch 1/1 | step 44/100 | phase with_noise_channels | minibatch 15 | loss: 1.11898
Epoch 1/1 | step 44/100 | phase with_noise_channels | minibatch 15 | loss: 1.02786
Epoch 1/1 | step 44/100 | phase with_noise_channels | minibatch 15 | loss: 0.602537
Epoch 1/1 | step 44/100 | phase with_noise_channels | minibatch 15 | loss: 1.76314
